Datum;Dax30;Dax30lag;S&P500;S&P500lag
26.10.1998;2,214296396;0,703734671;0,154099141;-0,723169488
27.10.1998;2,250395228;2,214296396;-0,650901831;0,154099141
28.10.1998;-2,532299742;2,250395228;0,277518891;-0,650901831
29.10.1998;0,122915261;-2,532299742;1,683377673;0,277518891
30.10.1998;2,653548459;0,122915261;1,173759489;1,683377673
02.11.1998;1,523772167;2,653548459;1,177203125;1,173759489
03.11.1998;-1,116017529;1,523772167;-0,065657179;1,177203125
04.11.1998;3,586929748;-1,116017529;0,719381925;-0,065657179
05.11.1998;-1,700613336;3,586929748;1,365433081;0,719381925
06.11.1998;0,301337982;-1,700613336;0,640790812;1,365433081
09.11.1998;-0,984462745;0,301337982;-0,931920173;0,640790812
10.11.1998;-1,701670173;-0,984462745;-0,154279393;-0,931920173
11.11.1998;0,512246494;-1,701670173;-0,646177156;-0,154279393
12.11.1998;-1,263038433;0,512246494;-0,282164555;-0,646177156
13.11.1998;-0,044985998;-1,263038433;0,723274216;-0,282164555
16.11.1998;3,056979198;-0,044985998;0,903970567;0,723274216
17.11.1998;-1,408762663;3,056979198;0,305158681;0,903970567
18.11.1998;-0,374072237;-1,408762663;0,465114473;0,305158681
19.11.1998;2,233714625;-0,374072237;0,716568818;0,465114473
20.11.1998;2,200308384;2,233714625;0,94939502;0,716568818
23.11.1998;2,302384438;2,200308384;2,120990949;0,94939502
24.11.1998;-1,392573604;2,302384438;-0,432672413;2,120990949
25.11.1998;0,040165182;-1,392573604;0,336974544;-0,432672413
27.11.1998;4,089151079;0,040165182;0,476688172;0,336974544
30.11.1998;-2,579270857;4,089151079;-2,406621206;0,476688172
01.12.1998;-4,953304126;-2,579270857;1,004170321;-2,406621206
02.12.1998;-1,360216697;-4,953304126;-0,319586976;1,004170321
03.12.1998;2,125122024;-1,360216697;-1,799878473;-0,319586976
04.12.1998;-0,199071554;2,125122024;2,313279869;-1,799878473
07.12.1998;-1,698814848;-0,199071554;0,932964538;2,313279869
08.12.1998;-0,27493185;-1,698814848;-0,526183246;0,932964538
09.12.1998;-0,671595666;-0,27493185;0,18631995;-0,526183246
10.12.1998;-0,561736486;-0,671595666;-1,55818112;0,18631995
11.12.1998;-2,306947939;-0,561736486;0,144090397;-1,55818112
14.12.1998;0,44551862;-2,306947939;-2,165064634;0,144090397
15.12.1998;0,141127177;0,44551862;1,89625666;-2,165064634
16.12.1998;2,561218461;0,141127177;-0,072956783;1,89625666
17.12.1998;0,968050287;2,561218461;1,559575756;-0,072956783
18.12.1998;-1,381413365;0,968050287;0,68269481;1,559575756
21.12.1998;3,427660422;-1,381413365;1,24878131;0,68269481
22.12.1998;1,093293555;3,427660422;0,06237906;1,24878131
23.12.1998;2,031982982;1,093293555;2,075273159;0,06237906
28.12.1998;1,235884643;2,031982982;-0,246508545;2,075273159
29.12.1998;0,318442903;1,235884643;1,360499258;-0,246508545
30.12.1998;-0,981567185;0,318442903;-0,79275272;1,360499258
04.01.1999;5,668351786;-0,981567185;-0,306992046;-0,79275272
05.01.1999;-0,509417129;5,668351786;1,362404189;-0,306992046
06.01.1999;3,410146654;-0,509417129;2,236803128;1,362404189
07.01.1999;-1,785628985;3,410146654;-0,199122888;2,236803128
08.01.1999;0,463923408;-1,785628985;0,422162212;-0,199122888
11.01.1999;-1,937246183;0,463923408;-0,879149415;0,422162212
12.01.1999;-1,335619495;-1,937246183;-1,928170974;-0,879149415
13.01.1999;-4,118642143;-1,335619495;-0,406097699;-1,928170974
14.01.1999;-1,593096915;-4,118642143;-1,797846971;-0,406097699
15.01.1999;1,448778747;-1,593096915;2,564510314;-1,797846971
19.01.1999;1,300218345;1,448778747;0,703803605;2,564510314
20.01.1999;3,149778206;1,300218345;0,374681717;0,703803605
21.01.1999;-0,648432314;3,149778206;-1,707290085;0,374681717
22.01.1999;-3,006516961;-0,648432314;-0,806349301;-1,707290085
25.01.1999;-0,391756735;-3,006516961;0,717851166;-0,806349301
26.01.1999;0,252576379;-0,391756735;1,485803134;0,717851166
27.01.1999;0,740223827;0,252576379;-0,715987649;1,485803134
28.01.1999;0,847920194;0,740223827;1,79642809;-0,715987649
29.01.1999;1,955547508;0,847920194;1,127736732;1,79642809
01.02.1999;1,144916597;1,955547508;-0,518898588;1,127736732
02.02.1999;-1,424727078;1,144916597;-0,860810337;-0,518898588
03.02.1999;-1,449772021;-1,424727078;0,811754915;-0,860810337
04.02.1999;-0,565611082;-1,449772021;-1,846412474;0,811754915
05.02.1999;0,715234091;-0,565611082;-0,72571958;-1,846412474
08.02.1999;-0,883573844;0,715234091;0,368656705;-0,72571958
09.02.1999;-3,993516004;-0,883573844;-2,220129768;0,368656705
10.02.1999;-0,755153412;-3,993516004;0,628871507;-2,220129768
11.02.1999;1,147684689;-0,755153412;2,499285129;0,628871507
12.02.1999;0,563737218;1,147684689;-1,902897599;2,499285129
16.02.1999;-0,033287452;0,563737218;0,954849287;-1,902897599
